apartment,dong,price,area,floor,bonbeon,bubeon,region
삼용,청학동,"41,000",,8,448-1,0001,인천_연수구
베르디움더퍼스트,송도동,"73,000",,5,192-8,0008,인천_연수구
더샵엑스포6단지,송도동,"94,000",,12,15-2,0002,인천_연수구
송도더샵마스터뷰23-1BL,송도동,"86,000",,21,112,0000,인천_연수구
"승기마을,연수1차시영",연수동,"11,500",,13,582-2,0002,인천_연수구
베르디움더퍼스트,송도동,"54,900",,13,192-8,0008,인천_연수구
송도SKVIEW,송도동,"88,000",,17,315-1,0001,인천_연수구
무지개마을,동춘동,"41,800",,7,931,0000,인천_연수구
송도역서해그랑블,옥련동,"45,500",,28,647,0000,인천_연수구
글로벌캠퍼스푸르지오,송도동,"91,500",,44,190-2,0002,인천_연수구
대동,연수동,"28,800",,11,633,0000,인천_연수구
더샵엑스포10단지,송도동,"88,500",,7,16-4,0004,인천_연수구
풍림1,연수동,"34,200",,9,582,0000,인천_연수구
연수대우.삼환,동춘동,"44,300",,8,925-7,0007,인천_연수구
우성2,연수동,"22,000",,11,634,0000,인천_연수구
글로벌캠퍼스푸르지오,송도동,"74,000",,28,190-2,0002,인천_연수구
송도글로벌파크베르디움,송도동,"75,800",,20,191-2,0002,인천_연수구
송도오션파크베르디움,송도동,"61,500",,24,310-1,0001,인천_연수구
송도오션파크베르디움,송도동,"60,000",,14,310-1,0001,인천_연수구
더샵그린스퀘어,송도동,"81,000",,2,192-1,0001,인천_연수구
"연수타운(금호,동아)",동춘동,"52,500",,14,923,0000,인천_연수구
"승기마을,연수1차시영",연수동,"11,000",,6,582-2,0002,인천_연수구
한국,옥련동,"29,000",,9,642-1,0001,인천_연수구
동남,동춘동,"21,800",,4,943,0000,인천_연수구
송도역서해그랑블,옥련동,"46,000",,22,647,0000,인천_연수구
풍림3,동춘동,"33,200",,1,922,0000,인천_연수구
롯데캐슬캠퍼스타운,송도동,"74,500",,36,149,0000,인천_연수구
호반써밋송도,송도동,"65,000",,20,312-1,0001,인천_연수구
베르디움더퍼스트,송도동,"66,400",,28,192-8,0008,인천_연수구
"연수타운(금호,동아)",동춘동,"43,500",,2,923,0000,인천_연수구
쌍용,옥련동,"34,800",,7,644-1,0001,인천_연수구
연수서해그랑블1단지,동춘동,"53,000",,17,1131-1,0001,인천_연수구
백산2,옥련동,"29,000",,3,638-1,0001,인천_연수구
연수대우.삼환,동춘동,"42,000",,1,925-7,0007,인천_연수구
송도더샵퍼스트파크F13-1BL,송도동,"95,000",,11,100,0000,인천_연수구
송도글로벌파크베르디움,송도동,"72,500",,10,191-2,0002,인천_연수구
e편한세상송도,송도동,"62,800",,12,319-1,0001,인천_연수구
동춘마을,동춘동,"25,400",,3,921,0000,인천_연수구
해모로월드뷰,송도동,"81,000",,13,157,0000,인천_연수구
더샵송도마리나베이,송도동,"60,000",,10,308-1,0001,인천_연수구
대림3,동춘동,"19,000",,5,940,0000,인천_연수구
한양2,동춘동,"41,500",,5,932,0000,인천_연수구
